Target: http://cmess.thm/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00110:  C=200    107 L	     290 W	   3883 Ch	  "login"
00108:  C=200    107 L	     290 W	   3880 Ch	  "home"
00106:  C=200    107 L	     290 W	   3880 Ch	  "web2"
00109:  C=200    107 L	     290 W	   3877 Ch	  "bbs"
00107:  C=200    107 L	     290 W	   3886 Ch	  "upload"
00105:  C=200    107 L	     290 W	   3880 Ch	  "web1"
00103:  C=200    107 L	     290 W	   3898 Ch	  "newsletter"
00104:  C=200    107 L	     290 W	   3880 Ch	  "ftp2"
00099:  C=200    107 L	     290 W	   3889 Ch	  "monitor"
00102:  C=200    107 L	     290 W	   3877 Ch	  "sms"
00101:  C=200    107 L	     290 W	   3883 Ch	  "panel"
00098:  C=200    107 L	     290 W	   3877 Ch	  "owa"
00096:  C=200    107 L	     290 W	   3883 Ch	  "files"
00097:  C=200    107 L	     290 W	   3880 Ch	  "info"
00095:  C=200    107 L	     290 W	   3880 Ch	  "live"
00094:  C=200    107 L	     290 W	   3886 Ch	  "office"
00093:  C=200    107 L	     290 W	   3874 Ch	  "db"
00091:  C=200    107 L	     290 W	   3886 Ch	  "forums"
00090:  C=200    107 L	     290 W	   3883 Ch	  "mail3"
00124:  C=200    107 L	     290 W	   3877 Ch	  "ns6"
00087:  C=200    107 L	     290 W	   3880 Ch	  "apps"
00122:  C=200    107 L	     290 W	   3883 Ch	  "smtp2"
00089:  C=200    107 L	     290 W	   3892 Ch	  "exchange"
00128:  C=200    107 L	     290 W	   3883 Ch	  "test2"
00136:  C=200    107 L	     290 W	   3892 Ch	  "www.shop"
00152:  C=200    107 L	     290 W	   3874 Ch	  "ad"
00171:  C=200    107 L	     290 W	   3880 Ch	  "dev2"
00170:  C=200    107 L	     290 W	   3895 Ch	  "mailadmin"
00169:  C=200    107 L	     290 W	   3874 Ch	  "s2"
00168:  C=200    107 L	     290 W	   3880 Ch	  "mrtg"
00167:  C=200    107 L	     290 W	   3886 Ch	  "nagios"
00166:  C=200    107 L	     290 W	   3889 Ch	  "partner"
00165:  C=200    107 L	     290 W	   3883 Ch	  "photo"
00164:  C=200    107 L	     290 W	   3883 Ch	  "test1"
00163:  C=200    107 L	     290 W	   3892 Ch	  "facebook"
00162:  C=200    107 L	     290 W	   3886 Ch	  "moodle"
00161:  C=200    107 L	     290 W	   3880 Ch	  "stat"
00160:  C=200    107 L	     290 W	   3889 Ch	  "server1"
00159:  C=200    107 L	     290 W	   3880 Ch	  "sftp"
00158:  C=200    107 L	     290 W	   3874 Ch	  "av"
00157:  C=200    107 L	     290 W	   3874 Ch	  "cs"
00156:  C=200    107 L	     290 W	   3880 Ch	  "meet"
00155:  C=200    107 L	     290 W	   3874 Ch	  "de"
00154:  C=200    107 L	     290 W	   3886 Ch	  "router"
00151:  C=200    107 L	     290 W	   3913 Ch	  "c-n7k-n04-01.rz"
00153:  C=200    107 L	     290 W	   3886 Ch	  "legacy"
00150:  C=200    107 L	     290 W	   3880 Ch	  "docs"
00149:  C=200    107 L	     290 W	   3880 Ch	  "data"
00148:  C=200    107 L	     290 W	   3913 Ch	  "c-n7k-v03-01.rz"
00147:  C=200    107 L	     290 W	   3889 Ch	  "www.new"
00146:  C=200    107 L	     290 W	   3892 Ch	  "www.mail"
00145:  C=200    107 L	     290 W	   3871 Ch	  "s"
00144:  C=200    107 L	     290 W	   3886 Ch	  "survey"
00143:  C=200    107 L	     290 W	   3871 Ch	  "i"
00142:  C=200    107 L	     290 W	   3874 Ch	  "s1"
00141:  C=200    107 L	     290 W	   3904 Ch	  "webdisk.blog"
00140:  C=200    107 L	     290 W	   3892 Ch	  "services"
00139:  C=200    107 L	     290 W	   3880 Ch	  "ldap"
00138:  C=200    107 L	     290 W	   3889 Ch	  "hosting"
00135:  C=200    107 L	     290 W	   3874 Ch	  "tv"
00137:  C=200    107 L	     290 W	   3892 Ch	  "extranet"
00134:  C=200    107 L	     290 W	   3889 Ch	  "members"
00133:  C=200    107 L	     290 W	   3880 Ch	  "www4"
00132:  C=200    107 L	     290 W	   3880 Ch	  "help"
00131:  C=200    107 L	     290 W	   3889 Ch	  "library"
00130:  C=200    107 L	     290 W	   3877 Ch	  "ntp"
00127:  C=200    107 L	     290 W	   3889 Ch	  "service"
00129:  C=200    107 L	     290 W	   3883 Ch	  "radio"
00126:  C=200    107 L	     290 W	   3886 Ch	  "online"
00123:  C=200    107 L	     290 W	   3877 Ch	  "vps"
00125:  C=200    107 L	     290 W	   3883 Ch	  "relay"
00172:  C=200    107 L	     290 W	   3874 Ch	  "ts"
00174:  C=200    107 L	     290 W	   3919 Ch	  "autodiscover.blog"
00178:  C=200    107 L	     290 W	   3883 Ch	  "host2"
00177:  C=200    107 L	     290 W	   3883 Ch	  "image"
00179:  C=200    107 L	     290 W	   3889 Ch	  "gateway"
00176:  C=200    107 L	     290 W	   3880 Ch	  "jobs"
