===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.51.178:5003/
[+] Method:                  GET
[+] Threads:                 40
[+] Wordlist:                /usr/share/wordlists/directory_enum/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,php,txt
[+] Timeout:                 10s
===============================================================
2022/02/10 13:02:38 Starting gobuster in directory enumeration mode
===============================================================
/papers               (Status: 500) [Size: 62638]
/pages                (Status: 500) [Size: 62624]
/technology           (Status: 500) [Size: 62694]
/english              (Status: 500) [Size: 62652]
/copyright            (Status: 500) [Size: 62680]
/photos               (Status: 500) [Size: 62638]
/sports               (Status: 500) [Size: 62638]
/history              (Status: 500) [Size: 62652]
/stats                (Status: 500) [Size: 62624]
/uploads              (Status: 500) [Size: 62652]
/data                 (Status: 500) [Size: 62610]
/people               (Status: 500) [Size: 62638]
/subscribe            (Status: 500) [Size: 62680]
/submit               (Status: 500) [Size: 62638]
/logos                (Status: 500) [Size: 62624]
/story                (Status: 500) [Size: 62624]
/image                (Status: 500) [Size: 62624]
/music                (Status: 500) [Size: 62624]
/games                (Status: 500) [Size: 62624]
/community            (Status: 500) [Size: 62680]
/go                   (Status: 500) [Size: 62582]
/web                  (Status: 500) [Size: 62596]
/education            (Status: 500) [Size: 62680]
/newsletter           (Status: 500) [Size: 62694]
/library              (Status: 500) [Size: 62652]
/internet             (Status: 500) [Size: 62666]
/wiki                 (Status: 500) [Size: 62610]
/arrow                (Status: 500) [Size: 62624]
/b                    (Status: 500) [Size: 62568]
/advertise            (Status: 500) [Size: 62680]
/spam                 (Status: 500) [Size: 62610]
/s                    (Status: 500) [Size: 62568]
/mail                 (Status: 500) [Size: 62610]
/stories              (Status: 500) [Size: 62652]
/www                  (Status: 500) [Size: 62596]
/nav                  (Status: 500) [Size: 62596]
/c                    (Status: 500) [Size: 62568]
/store                (Status: 500) [Size: 62624]
/members              (Status: 500) [Size: 62652]
/header               (Status: 500) [Size: 62638]
/Images               (Status: 500) [Size: 62638]
/signup               (Status: 500) [Size: 62638]
/map                  (Status: 500) [Size: 62596]
/2002                 (Status: 500) [Size: 62610]
/31                   (Status: 500) [Size: 62582]
/public               (Status: 500) [Size: 62638]
/de                   (Status: 500) [Size: 62582]
/News                 (Status: 500) [Size: 62610]
/doc                  (Status: 500) [Size: 62596]
/disclaimer           (Status: 500) [Size: 62694]
/Default              (Status: 500) [Size: 62652]
/topics               (Status: 500) [Size: 62638]
/a                    (Status: 500) [Size: 62568]
/in                   (Status: 500) [Size: 62582]
/shop                 (Status: 500) [Size: 62610]
/clear                (Status: 500) [Size: 62624]
/contacts             (Status: 500) [Size: 62666]
/users                (Status: 500) [Size: 62624]
/fr                   (Status: 500) [Size: 62582]
/pics                 (Status: 500) [Size: 62610]
/awards               (Status: 500) [Size: 62638]
