Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00083:  C=400      0 L	       1 W	     45 Ch	  ".well-known/posh"
00086:  C=400      0 L	       1 W	     45 Ch	  ".well-known/repute-template"
00091:  C=400      0 L	       1 W	     45 Ch	  ".well-known/time"
00092:  C=400      0 L	       1 W	     45 Ch	  ".well-known/timezone"
00094:  C=400      0 L	       1 W	     45 Ch	  ".well-known/void"
00096:  C=400      0 L	       1 W	     45 Ch	  "0"
00093:  C=400      0 L	       1 W	     45 Ch	  ".well-known/uma2-configuration"
00095:  C=400      0 L	       1 W	     45 Ch	  ".well-known/webfinger"
00098:  C=400      0 L	       1 W	     45 Ch	  "01"
00099:  C=400      0 L	       1 W	     45 Ch	  "02"
00097:  C=400      0 L	       1 W	     45 Ch	  "00"
00101:  C=400      0 L	       1 W	     45 Ch	  "04"
00104:  C=400      0 L	       1 W	     45 Ch	  "07"
00108:  C=400      0 L	       1 W	     45 Ch	  "10"
00111:  C=400      0 L	       1 W	     45 Ch	  "1001"
00100:  C=400      0 L	       1 W	     45 Ch	  "03"
00105:  C=400      0 L	       1 W	     45 Ch	  "08"
00106:  C=400      0 L	       1 W	     45 Ch	  "09"
00102:  C=400      0 L	       1 W	     45 Ch	  "05"
00112:  C=400      0 L	       1 W	     45 Ch	  "101"
00103:  C=400      0 L	       1 W	     45 Ch	  "06"
00110:  C=400      0 L	       1 W	     45 Ch	  "1000"
00107:  C=400      0 L	       1 W	     45 Ch	  "1"
00117:  C=400      0 L	       1 W	     45 Ch	  "123"
00109:  C=400      0 L	       1 W	     45 Ch	  "100"
00118:  C=400      0 L	       1 W	     45 Ch	  "13"
00115:  C=400      0 L	       1 W	     45 Ch	  "11"
00114:  C=400      0 L	       1 W	     45 Ch	  "103"
00113:  C=400      0 L	       1 W	     45 Ch	  "102"
00119:  C=400      0 L	       1 W	     45 Ch	  "14"
00116:  C=400      0 L	       1 W	     45 Ch	  "12"
00120:  C=400      0 L	       1 W	     45 Ch	  "15"
00122:  C=400      0 L	       1 W	     45 Ch	  "1991"
00129:  C=400      0 L	       1 W	     45 Ch	  "1998"
00128:  C=400      0 L	       1 W	     45 Ch	  "1997"
00132:  C=400      0 L	       1 W	     45 Ch	  "2"
00126:  C=400      0 L	       1 W	     45 Ch	  "1995"
00130:  C=400      0 L	       1 W	     45 Ch	  "1999"
00131:  C=400      0 L	       1 W	     45 Ch	  "1x1"
00125:  C=400      0 L	       1 W	     45 Ch	  "1994"
00133:  C=400      0 L	       1 W	     45 Ch	  "20"
00127:  C=400      0 L	       1 W	     45 Ch	  "1996"
00124:  C=400      0 L	       1 W	     45 Ch	  "1993"
00121:  C=400      0 L	       1 W	     45 Ch	  "1990"
00123:  C=400      0 L	       1 W	     45 Ch	  "1992"
00134:  C=400      0 L	       1 W	     45 Ch	  "200"
00136:  C=400      0 L	       1 W	     45 Ch	  "2001"
00139:  C=400      0 L	       1 W	     45 Ch	  "2004"
00137:  C=400      0 L	       1 W	     45 Ch	  "2002"
00135:  C=400      0 L	       1 W	     45 Ch	  "2000"
00138:  C=400      0 L	       1 W	     45 Ch	  "2003"
00140:  C=400      0 L	       1 W	     45 Ch	  "2005"
00141:  C=400      0 L	       1 W	     45 Ch	  "2006"
00143:  C=400      0 L	       1 W	     45 Ch	  "2008"
00146:  C=400      0 L	       1 W	     45 Ch	  "2011"
00147:  C=400      0 L	       1 W	     45 Ch	  "2012"
00145:  C=400      0 L	       1 W	     45 Ch	  "2010"
00142:  C=400      0 L	       1 W	     45 Ch	  "2007"
00144:  C=400      0 L	       1 W	     45 Ch	  "2009"
00148:  C=400      0 L	       1 W	     45 Ch	  "2013"
00150:  C=400      0 L	       1 W	     45 Ch	  "21"
00153:  C=400      0 L	       1 W	     45 Ch	  "23"
00154:  C=400      0 L	       1 W	     45 Ch	  "24"
00152:  C=400      0 L	       1 W	     45 Ch	  "2257"
00149:  C=400      0 L	       1 W	     45 Ch	  "2014"
00151:  C=400      0 L	       1 W	     45 Ch	  "22"
00155:  C=400      0 L	       1 W	     45 Ch	  "25"
00157:  C=400      0 L	       1 W	     45 Ch	  "3"
00160:  C=400      0 L	       1 W	     45 Ch	  "32"
00161:  C=400      0 L	       1 W	     45 Ch	  "3g"
00159:  C=400      0 L	       1 W	     45 Ch	  "300"
00156:  C=400      0 L	       1 W	     45 Ch	  "2g"
00158:  C=400      0 L	       1 W	     45 Ch	  "30"
00162:  C=400      0 L	       1 W	     45 Ch	  "3rdparty"
00164:  C=400      0 L	       1 W	     45 Ch	  "400"
00167:  C=400      0 L	       1 W	     45 Ch	  "404"
